Frequency Range,2024_06_28___17-58-44.csv
From 1687.50 Hz to 3750.00 Hz,-17.85162329259606
From 6000.00 Hz to 6937.50 Hz,-28.396891803074638
From 9187.50 Hz to 10875.00 Hz,-27.739461568205478
From 13125.00 Hz to 14812.50 Hz,-30.049899901301508
From 17062.50 Hz to 18937.50 Hz,-28.79255505032473
From 21187.50 Hz to 22687.50 Hz,-42.06644491515476
From 24937.50 Hz to 26812.50 Hz,-43.34680291130827
From 29062.50 Hz to 30937.50 Hz,-32.40670954645692
From 33187.50 Hz to 34875.00 Hz,-36.26191718669152
From 37125.00 Hz to 38812.50 Hz,-36.94561585697877
From 41062.50 Hz to 41812.50 Hz,-42.15608175944313
From 44062.50 Hz to 45750.00 Hz,-38.811197080836095
